Overriding config with config/train_baby_baseline.py:
# Baby GPT baseline with AdamW optimizer
# Based on CIFAR-10 experiments, this is for comparison with Grassmann Muon

out_dir = 'out-baby-baseline'
eval_interval = 500
eval_iters = 200
log_interval = 10
always_save_checkpoint = True

wandb_log = False  # set to True if using wandb
wandb_project = 'nanogpt-manifold'
wandb_run_name = 'baby-adamw-baseline'

# dataset
dataset = 'shakespeare_char'  # use 'wikitext-2' for larger experiments
gradient_accumulation_steps = 1
batch_size = 64
block_size = 256

# Baby GPT model
n_layer = 6
n_head = 6
n_embd = 384
dropout = 0.0  # 0 for pretraining
bias = False

# AdamW optimizer
learning_rate = 1e-3
max_iters = 5000
lr_decay_iters = 5000
min_lr = 1e-4
weight_decay = 1e-1
beta1 = 0.9
beta2 = 0.95
grad_clip = 1.0

# learning rate schedule (cosine with warmup)
decay_lr = True
warmup_iters = 100

# system
device = 'cuda'
dtype = 'bfloat16'
compile = True

# Grassmann disabled for baseline
use_grassmann = False

tokens per iteration will be: 16,384
found vocab_size = 65 (inside data/shakespeare_char/meta.pkl)
Initializing a new model from scratch
number of parameters: 10.65M
num decayed parameter tensors: 26, with 10,740,096 parameters
num non-decayed parameter tensors: 13, with 4,992 parameters
using fused AdamW: True
compiling the model... (takes a ~minute)
step 0: train loss 4.2874, val loss 4.2823
iter 0: loss 4.2865, time 38050.28ms, mfu -100.00%
iter 10: loss 3.0388, time 7.40ms, mfu 50.38%
iter 20: loss 2.6729, time 7.43ms, mfu 50.36%
iter 30: loss 2.5810, time 7.73ms, mfu 50.14%
iter 40: loss 2.5401, time 7.29ms, mfu 50.24%
iter 50: loss 2.4916, time 7.52ms, mfu 50.17%
iter 60: loss 2.4792, time 7.46ms, mfu 50.15%
iter 70: loss 2.4655, time 7.39ms, mfu 50.17%
iter 80: loss 2.4661, time 7.29ms, mfu 50.27%
iter 90: loss 2.4326, time 7.39ms, mfu 50.28%
iter 100: loss 2.4093, time 7.29ms, mfu 50.36%
iter 110: loss 2.3858, time 7.32ms, mfu 50.42%
iter 120: loss 2.3411, time 7.30ms, mfu 50.48%
iter 130: loss 2.3258, time 7.10ms, mfu 50.68%
iter 140: loss 2.2884, time 7.24ms, mfu 50.76%
iter 150: loss 2.2809, time 8.04ms, mfu 50.32%
iter 160: loss 2.2199, time 7.39ms, mfu 50.33%
iter 170: loss 2.1793, time 7.40ms, mfu 50.33%
iter 180: loss 2.1267, time 7.18ms, mfu 50.49%
iter 190: loss 2.0550, time 7.25ms, mfu 50.58%
iter 200: loss 2.0174, time 7.35ms, mfu 50.59%
iter 210: loss 1.9504, time 7.09ms, mfu 50.79%
iter 220: loss 1.9523, time 7.07ms, mfu 50.98%
iter 230: loss 1.8792, time 7.41ms, mfu 50.91%
iter 240: loss 1.8836, time 7.47ms, mfu 50.81%
iter 250: loss 1.8420, time 7.15ms, mfu 50.94%
iter 260: loss 1.8003, time 7.25ms, mfu 50.98%
iter 270: loss 1.7816, time 7.39ms, mfu 50.93%
iter 280: loss 1.7518, time 7.31ms, mfu 50.93%
iter 290: loss 1.7386, time 7.41ms, mfu 50.87%
iter 300: loss 1.6601, time 7.22ms, mfu 50.94%
iter 310: loss 1.6677, time 7.30ms, mfu 50.95%
iter 320: loss 1.6435, time 7.51ms, mfu 50.82%
iter 330: loss 1.6061, time 7.20ms, mfu 50.92%
iter 340: loss 1.6055, time 7.04ms, mfu 51.12%
iter 350: loss 1.5679, time 7.30ms, mfu 51.11%
iter 360: loss 1.5697, time 7.31ms, mfu 51.09%
iter 370: loss 1.5465, time 7.05ms, mfu 51.27%
iter 380: loss 1.5178, time 7.34ms, mfu 51.22%
iter 390: loss 1.4937, time 7.28ms, mfu 51.22%
iter 400: loss 1.5091, time 7.34ms, mfu 51.17%
iter 410: loss 1.4852, time 7.45ms, mfu 51.05%
iter 420: loss 1.4765, time 7.58ms, mfu 50.86%
iter 430: loss 1.4437, time 7.32ms, mfu 50.87%
iter 440: loss 1.4710, time 7.23ms, mfu 50.94%
iter 450: loss 1.4535, time 7.49ms, mfu 50.82%
iter 460: loss 1.4685, time 7.26ms, mfu 50.87%
iter 470: loss 1.4465, time 7.31ms, mfu 50.88%
iter 480: loss 1.4142, time 7.20ms, mfu 50.97%
iter 490: loss 1.4261, time 7.35ms, mfu 50.94%
step 500: train loss 1.4055, val loss 1.6137
saving checkpoint to out-baby-baseline
iter 500: loss 1.4039, time 1923.66ms, mfu 45.87%
iter 510: loss 1.3858, time 7.28ms, mfu 46.40%
iter 520: loss 1.3650, time 7.18ms, mfu 46.95%
iter 530: loss 1.3839, time 7.22ms, mfu 47.42%
iter 540: loss 1.3547, time 7.51ms, mfu 47.64%
iter 550: loss 1.3710, time 7.24ms, mfu 48.02%
iter 560: loss 1.3577, time 7.28ms, mfu 48.33%
iter 570: loss 1.3803, time 7.38ms, mfu 48.55%
iter 580: loss 1.3705, time 7.41ms, mfu 48.73%
iter 590: loss 1.3111, time 8.13ms, mfu 48.43%
iter 600: loss 1.3399, time 14.70ms, mfu 46.13%
iter 610: loss 1.2892, time 7.18ms, mfu 46.70%
iter 620: loss 1.3108, time 7.20ms, mfu 47.21%
iter 630: loss 1.2942, time 7.10ms, mfu 47.74%
iter 640: loss 1.2756, time 7.25ms, mfu 48.10%
iter 650: loss 1.3088, time 7.15ms, mfu 48.51%
iter 660: loss 1.3115, time 7.19ms, mfu 48.84%
iter 670: loss 1.2423, time 7.34ms, mfu 49.03%
iter 680: loss 1.3113, time 7.34ms, mfu 49.20%
iter 690: loss 1.2770, time 7.26ms, mfu 49.42%
iter 700: loss 1.2855, time 7.09ms, mfu 49.73%
iter 710: loss 1.2425, time 7.27ms, mfu 49.88%
iter 720: loss 1.2372, time 7.14ms, mfu 50.11%
iter 730: loss 1.2371, time 7.28ms, mfu 50.22%
iter 740: loss 1.2577, time 7.27ms, mfu 50.32%
iter 750: loss 1.2438, time 7.07ms, mfu 50.56%
iter 760: loss 1.2201, time 7.30ms, mfu 50.61%
iter 770: loss 1.2049, time 7.09ms, mfu 50.81%
iter 780: loss 1.2125, time 7.34ms, mfu 50.80%
iter 790: loss 1.2101, time 7.22ms, mfu 50.88%
iter 800: loss 1.2359, time 7.05ms, mfu 51.08%
iter 810: loss 1.2203, time 7.28ms, mfu 51.09%
iter 820: loss 1.2042, time 7.44ms, mfu 50.99%
iter 830: loss 1.2041, time 7.28ms, mfu 51.01%
iter 840: loss 1.1807, time 7.06ms, mfu 51.19%
iter 850: loss 1.1973, time 7.32ms, mfu 51.16%
