Overriding config with /tmp/baseline_seed47.py:
# Import base config
exec(open('config/train_baby_baseline_multiseed.py').read())

# Override with seed-specific values
seed_offset = 47
out_dir = '/net/scratch2/junyuren/nanoGPT-manifold/out-baby-baseline-seed47'

tokens per iteration will be: 16,384
found vocab_size = 65 (inside data/shakespeare_char/meta.pkl)
Initializing a new model from scratch
number of parameters: 10.65M
num decayed parameter tensors: 26, with 10,740,096 parameters
num non-decayed parameter tensors: 13, with 4,992 parameters
using fused AdamW: True
compiling the model... (takes a ~minute)
step 0: train loss 4.2874, val loss 4.2823
iter 0: loss 4.2654, time 10555.47ms, mfu -100.00%
iter 10: loss 3.1462, time 15.09ms, mfu 24.69%
iter 20: loss 2.7311, time 16.13ms, mfu 24.53%
iter 30: loss 2.6178, time 16.06ms, mfu 24.40%
iter 40: loss 2.5755, time 16.00ms, mfu 24.29%
iter 50: loss 2.5249, time 15.92ms, mfu 24.20%
iter 60: loss 2.5141, time 16.32ms, mfu 24.06%
iter 70: loss 2.4946, time 16.11ms, mfu 23.97%
iter 80: loss 2.4935, time 16.01ms, mfu 23.90%
iter 90: loss 2.4698, time 16.39ms, mfu 23.78%
iter 100: loss 2.4687, time 16.38ms, mfu 23.68%
iter 110: loss 2.4600, time 16.47ms, mfu 23.57%
iter 120: loss 2.4270, time 16.33ms, mfu 23.50%
iter 130: loss 2.4098, time 16.37ms, mfu 23.43%
iter 140: loss 2.4004, time 16.60ms, mfu 23.33%
iter 150: loss 2.4063, time 16.15ms, mfu 23.30%
iter 160: loss 2.3965, time 16.19ms, mfu 23.27%
iter 170: loss 2.3583, time 16.21ms, mfu 23.25%
iter 180: loss 2.3085, time 16.37ms, mfu 23.20%
iter 190: loss 2.2523, time 16.35ms, mfu 23.16%
iter 200: loss 2.2036, time 16.59ms, mfu 23.09%
iter 210: loss 2.1398, time 16.32ms, mfu 23.06%
iter 220: loss 2.1455, time 16.30ms, mfu 23.04%
iter 230: loss 2.0785, time 16.12ms, mfu 23.05%
iter 240: loss 2.0797, time 16.10ms, mfu 23.06%
step 250: train loss 1.9731, val loss 2.0718
saving checkpoint to /net/scratch2/junyuren/nanoGPT-manifold/out-baby-baseline-seed47
iter 250: loss 2.0368, time 5927.88ms, mfu 20.76%
iter 260: loss 1.9734, time 23.71ms, mfu 20.25%
iter 270: loss 1.9742, time 23.36ms, mfu 19.82%
iter 280: loss 1.9746, time 23.50ms, mfu 19.43%
iter 290: loss 1.9128, time 24.95ms, mfu 18.98%
iter 300: loss 1.8993, time 24.65ms, mfu 18.59%
iter 310: loss 1.8660, time 24.67ms, mfu 18.24%
iter 320: loss 1.8500, time 24.70ms, mfu 17.93%
iter 330: loss 1.8213, time 25.02ms, mfu 17.62%
iter 340: loss 1.7853, time 24.59ms, mfu 17.38%
