Overriding config with config/train_openwebtext_baseline.py:
# OpenWebText Baseline (AdamW only)
# Same architecture as Shakespeare: 6L x 384d (~10M params)
# Only difference: dataset (9B tokens vs 1.1M)

# I/O
out_dir = '/net/scratch2/junyuren/nanoGPT-manifold/out-openwebtext-baseline'
eval_interval = 1000
eval_iters = 200
log_interval = 10
always_save_checkpoint = True

wandb_log = False
wandb_project = 'openwebtext'
wandb_run_name = 'baseline-6L-384d'

# Data
dataset = 'openwebtext'
data_dir = '/net/scratch2/junyuren/nanoGPT-manifold/data/openwebtext'
gradient_accumulation_steps = 40  # Simulate batch size of ~2.6M tokens
batch_size = 64
block_size = 1024  # OpenWebText uses 1024 context (vs 256 for Shakespeare)

# Model - SAME as Shakespeare: 6L x 384d (~10M params)
n_layer = 6
n_head = 6
n_embd = 384
dropout = 0.2  # Same as Shakespeare baseline
bias = False

# AdamW optimizer - Same as Shakespeare
learning_rate = 1e-3
max_iters = 100000  # ~100K iters for meaningful training on 9B tokens
lr_decay_iters = 100000
min_lr = 1e-4
beta1 = 0.9
beta2 = 0.99  # Same as Shakespeare
weight_decay = 1e-1
grad_clip = 1.0

# Learning rate schedule
decay_lr = True
warmup_iters = 2000  # Longer warmup for larger dataset

# System
device = 'cuda'
dtype = 'bfloat16'
compile = True

# No Grassmann
use_grassmann = False

tokens per iteration will be: 2,621,440
Initializing a new model from scratch
defaulting to vocab_size of GPT-2 to 50304 (50257 rounded up for efficiency)
number of parameters: 29.94M
num decayed parameter tensors: 26, with 30,326,784 parameters
num non-decayed parameter tensors: 13, with 4,992 parameters
using fused AdamW: True
compiling the model... (takes a ~minute)
step 0: train loss 10.8916, val loss 10.8909
iter 0: loss 10.8920, time 40720.46ms, mfu -100.00%
iter 10: loss 10.7260, time 3083.55ms, mfu 56.66%
iter 20: loss 10.3961, time 3106.98ms, mfu 56.62%
iter 30: loss 10.2076, time 3097.84ms, mfu 56.60%
iter 40: loss 10.0206, time 3087.33ms, mfu 56.60%
iter 50: loss 9.8311, time 3084.44ms, mfu 56.60%
iter 60: loss 9.6093, time 3074.96ms, mfu 56.62%
iter 70: loss 9.4611, time 3070.43ms, mfu 56.65%
iter 80: loss 9.2451, time 3061.74ms, mfu 56.69%
iter 90: loss 9.0434, time 3065.93ms, mfu 56.72%
iter 100: loss 8.7892, time 3061.69ms, mfu 56.76%
iter 110: loss 8.5757, time 3061.13ms, mfu 56.79%
iter 120: loss 8.3684, time 3057.99ms, mfu 56.82%
iter 130: loss 8.2110, time 3056.37ms, mfu 56.86%
iter 140: loss 7.9642, time 3062.81ms, mfu 56.87%
iter 150: loss 7.6952, time 3057.28ms, mfu 56.90%
iter 160: loss 7.5528, time 3060.80ms, mfu 56.92%
