Overriding config with config/train_openwebtext_baseline_resume.py:
# Resume OpenWebText Baseline from checkpoint
# Continuing from step 13000

# I/O
out_dir = '/net/scratch2/junyuren/nanoGPT-manifold/out-openwebtext-baseline'
eval_interval = 1000
eval_iters = 200
log_interval = 10
always_save_checkpoint = True

# CRITICAL: Resume from checkpoint
init_from = 'resume'

wandb_log = False
wandb_project = 'openwebtext'
wandb_run_name = 'baseline-6L-384d-resume'

# Data
dataset = 'openwebtext'
data_dir = '/net/scratch2/junyuren/nanoGPT-manifold/data/openwebtext'
gradient_accumulation_steps = 40
batch_size = 64
block_size = 1024

# Model - SAME as Shakespeare: 6L x 384d (~10M params)
n_layer = 6
n_head = 6
n_embd = 384
dropout = 0.2
bias = False

# AdamW optimizer - LR decay will continue from step 13000
learning_rate = 1e-3  # Max LR (for reference, decay continues)
max_iters = 100000
lr_decay_iters = 100000
min_lr = 1e-4
beta1 = 0.9
beta2 = 0.99
weight_decay = 1e-1
grad_clip = 1.0

decay_lr = True
warmup_iters = 2000  # Already past warmup

# System
device = 'cuda'
dtype = 'bfloat16'
compile = True

# No Grassmann
use_grassmann = False

tokens per iteration will be: 2,621,440
Resuming training from /net/scratch2/junyuren/nanoGPT-manifold/out-openwebtext-baseline
number of parameters: 29.94M
num decayed parameter tensors: 26, with 30,326,784 parameters
num non-decayed parameter tensors: 13, with 4,992 parameters
using fused AdamW: True
compiling the model... (takes a ~minute)
step 13000: train loss 3.7751, val loss 3.7838
saving checkpoint to /net/scratch2/junyuren/nanoGPT-manifold/out-openwebtext-baseline
iter 13000: loss 3.8224, time 248468.71ms, mfu -100.00%
iter 13010: loss 3.8714, time 26588.97ms, mfu 6.57%
iter 13020: loss 3.8855, time 18786.94ms, mfu 6.84%
iter 13030: loss 3.9179, time 12995.71ms, mfu 7.50%
iter 13040: loss 3.8708, time 11960.82ms, mfu 8.21%
iter 13050: loss 3.8569, time 7870.44ms, mfu 9.61%
iter 13060: loss 3.8596, time 6958.87ms, mfu 11.16%
iter 13070: loss 3.8705, time 5179.37ms, mfu 13.42%
iter 13080: loss 3.7506, time 3900.20ms, mfu 16.56%
iter 13090: loss 3.8098, time 3334.33ms, mfu 20.14%
iter 13100: loss 3.7247, time 3209.60ms, mfu 23.57%
iter 13110: loss 3.8779, time 3192.07ms, mfu 26.69%
iter 13120: loss 3.8197, time 3030.96ms, mfu 29.78%
iter 13130: loss 3.8693, time 3080.42ms, mfu 32.48%
iter 13140: loss 3.9656, time 3098.09ms, mfu 34.87%
iter 13150: loss 3.8690, time 3130.81ms, mfu 36.96%
iter 13160: loss 3.8359, time 3128.07ms, mfu 38.85%
iter 13170: loss 3.8968, time 3134.75ms, mfu 40.54%
iter 13180: loss 3.8969, time 3127.84ms, mfu 42.07%
iter 13190: loss 3.8882, time 3134.49ms, mfu 43.44%
